agency_name,county,population,nibrs_start_date,murder_and_nonnegligent_manslaughter,negligent_manslaughter,rape,robbery,assault,burglary,larceny_theft,motor_vehicle_theft,arson,human_trafficking_commercial_sex_acts,human_trafficking_involuntary_servitude,months_reported,report_year,agency_type,university_pd,nibrs_eligible_months,has_preliminary_nibrs_reporting,nibrs_contribution_percentage
LOS FRESNOS PD,Cameron County,6779,2017-10-01,0,0,3,1,15,7,49,2,0,0,0,3,2017-12-31,Police Department,False,3,False,100.0
MARFA PD,Presidio County,1709,2021-01-01,0,0,0,0,0,0,0,0,0,0,0,0,2017-12-31,Police Department,False,0,False,0.0
MAVERICK CO SO,Maverick County,28918,2021-01-01,0,0,0,0,0,0,0,0,0,0,0,0,2017-12-31,Sheriff's Office,False,0,False,0.0
MCALLEN ISD PD,Hidalgo County,0,2020-11-01,0,0,0,0,0,0,0,0,0,0,0,0,2017-12-31,Police Department,False,0,False,0.0
MCALLEN PD,Hidalgo County,144162,2021-01-01,0,0,0,0,0,0,0,0,0,0,0,0,2017-12-31,Police Department,False,0,False,0.0
MERCEDES PD,Hidalgo County,16762,2020-07-01,0,0,0,0,0,0,0,0,0,0,0,0,2017-12-31,Police Department,False,0,False,0.0
MISSION PD,Hidalgo County,84511,2021-10-01,0,0,0,0,0,0,0,0,0,0,0,0,2017-12-31,Police Department,False,0,False,0.0
PALM VALLEY PD,Cameron County,1288,2021-01-01,0,0,0,0,0,0,0,0,0,0,0,0,2017-12-31,Police Department,False,0,False,0.0
PALMHURST PD,Hidalgo County,2746,2019-10-01,0,0,0,0,0,0,0,0,0,0,0,0,2017-12-31,Police Department,False,0,False,0.0
PALMVIEW PD,Hidalgo County,5791,2018-02-01,0,0,0,0,0,0,0,0,0,0,0,0,2017-12-31,Police Department,False,0,False,0.0
PENITAS PD,Hidalgo County,4935,2019-01-01,0,0,0,0,0,0,0,0,0,0,0,0,2017-12-31,Police Department,False,0,False,0.0
PHARR PD,Hidalgo County,78467,2021-01-01,0,0,0,0,0,0,0,0,0,0,0,0,2017-12-31,Police Department,False,0,False,0.0
POINT ISABEL ISD PD,Cameron County,0,2022-01-01,0,0,0,0,0,0,0,0,0,0,0,0,2017-12-31,Police Department,False,0,False,0.0
PORT ISABEL PD,Cameron County,5017,2018-01-01,0,0,0,0,0,0,1,0,0,0,0,1,2017-12-31,Police Department,False,0,True,100.0
PORT OF BROWNSVILLE PD,Cameron County,0,2019-09-01,0,0,0,0,0,0,0,0,0,0,0,0,2017-12-31,Police Department,False,0,False,0.0
PRESIDIO CO SO,Presidio County,2928,2018-10-01,0,0,0,0,0,0,0,0,0,0,0,0,2017-12-31,Sheriff's Office,False,0,False,0.0
