agency_name,corruption_keyword,title,description,published date,url,publisher
MCALLEN PD,administrative leave,"South Texas police officer on administrative leave after arrest on theft, forgery charges - mySA","South Texas police officer on administrative leave after arrest on theft, forgery charges  mySA","Tue, 23 Dec 2014 08:00:00 GMT",https://news.google.com/rss/articles/CBMibmh0dHBzOi8vd3d3Lm15c2FuYW50b25pby5jb20vbmV3cy9sb2NhbC9jcmltZS9hcnRpY2xlL1NvdXRoLVRleGFzLXBvbGljZS1vZmZpY2VyLW9uLWFkbWluaXN0cmF0aXZlLTU5NzU1OTgucGhw0gEA?oc=5&hl=en-US&gl=US&ceid=US:en,"{'href': 'https://www.mysanantonio.com', 'title': 'mySA'}"
MCALLEN PD,administrative leave,Edinburg police officer arrested on drunk driving charges - KVEO-TV,Edinburg police officer arrested on drunk driving charges  KVEO-TV,"Mon, 16 Oct 2023 07:00:00 GMT",https://news.google.com/rss/articles/CBMiaGh0dHBzOi8vd3d3LnZhbGxleWNlbnRyYWwuY29tL25ld3MvbG9jYWwtbmV3cy9lZGluYnVyZy1wb2xpY2Utb2ZmaWNlci1hcnJlc3RlZC1vbi1kcnVuay1kcml2aW5nLWNoYXJnZXMv0gFsaHR0cHM6Ly93d3cudmFsbGV5Y2VudHJhbC5jb20vbmV3cy9sb2NhbC1uZXdzL2VkaW5idXJnLXBvbGljZS1vZmZpY2VyLWFycmVzdGVkLW9uLWRydW5rLWRyaXZpbmctY2hhcmdlcy9hbXAv?oc=5&hl=en-US&gl=US&ceid=US:en,"{'href': 'https://www.valleycentral.com', 'title': 'KVEO-TV'}"
MCALLEN PD,administrative leave,Long standoff at Texas home ends after all hostages released - ABC News,Long standoff at Texas home ends after all hostages released  ABC News,"Mon, 17 Aug 2020 07:00:00 GMT",https://news.google.com/rss/articles/CBMiX2h0dHBzOi8vYWJjbmV3cy5nby5jb20vVVMvcG9saWNlLW9mZmljZXJzLXNob3QtcmVzcG9uZGluZy05MTEtY2FsbC10ZXhhcy1ob21lL3N0b3J5P2lkPTcyNDEwNTk50gFjaHR0cHM6Ly9hYmNuZXdzLmdvLmNvbS9hbXAvVVMvcG9saWNlLW9mZmljZXJzLXNob3QtcmVzcG9uZGluZy05MTEtY2FsbC10ZXhhcy1ob21lL3N0b3J5P2lkPTcyNDEwNTk5?oc=5&hl=en-US&gl=US&ceid=US:en,"{'href': 'https://abcnews.go.com', 'title': 'ABC News'}"
MERCEDES PD,officer misconduct,Northwoods police officer on leave pending investigation after man found beaten in grass - KSDK.com,Northwoods police officer on leave pending investigation after man found beaten in grass  KSDK.com,"Mon, 10 Jul 2023 07:00:00 GMT",https://news.google.com/rss/articles/CBMiiAFodHRwczovL3d3dy5rc2RrLmNvbS9hcnRpY2xlL25ld3MvbG9jYWwvbm9ydGh3b29kcy1wb2xpY2Utb2ZmaWNlci1vbi1sZWF2ZS1wZW5kaW5nLWludmVzdGlnYXRpb24vNjMtOWJjZjhlODctNTA0Ni00ODAwLWE4MGUtZDYxOTdjZTM4MDhk0gEA?oc=5&hl=en-US&gl=US&ceid=US:en,"{'href': 'https://www.ksdk.com', 'title': 'KSDK.com'}"
MERCEDES PD,officer misconduct,East Bridgewater police sergeant arrested on drunk driving charge in Raynham. What we know - Yahoo News,East Bridgewater police sergeant arrested on drunk driving charge in Raynham. What we know  Yahoo News,"Tue, 21 Nov 2023 08:00:00 GMT",https://news.google.com/rss/articles/CBMiT2h0dHBzOi8vbmV3cy55YWhvby5jb20vZWFzdC1icmlkZ2V3YXRlci1wb2xpY2Utc2VyZ2VhbnQtYXJyZXN0ZWQtMjMyMjQ0MTM4Lmh0bWzSAQA?oc=5&hl=en-US&gl=US&ceid=US:en,"{'href': 'https://news.yahoo.com', 'title': 'Yahoo News'}"
MERCEDES PD,officer misconduct,Ex-Louisville jail guard goes from vigilante action to shoplifting charges - Courier Journal,Ex-Louisville jail guard goes from vigilante action to shoplifting charges  Courier Journal,"Mon, 09 Oct 2023 07:00:00 GMT",https://news.google.com/rss/articles/CBMikQFodHRwczovL3d3dy5jb3VyaWVyLWpvdXJuYWwuY29tL3N0b3J5L25ld3MvY3JpbWUvMjAyMy8xMC8wOS9sb3Vpc3ZpbGxlLWphaWwtZ3VhcmQtY29ycmVjdGlvbnMtb2ZmaWNlci1sbXBkLXRoZWZ0LXNob3BsaWZ0aW5nLWNoYXJnZXMvNzA5Njk0MDAwMDcv0gEA?oc=5&hl=en-US&gl=US&ceid=US:en,"{'href': 'https://www.courier-journal.com', 'title': 'Courier Journal'}"
MERCEDES PD,officer misconduct,Former OPD captain says he's being unfairly blamed in misconduct scandal - KTVU FOX 2 San Francisco,Former OPD captain says he's being unfairly blamed in misconduct scandal  KTVU FOX 2 San Francisco,"Tue, 11 Apr 2023 07:00:00 GMT",https://news.google.com/rss/articles/CBMiYWh0dHBzOi8vd3d3Lmt0dnUuY29tL25ld3MvZm9ybWVyLW9wZC1jYXB0YWluLXNheXMtaGVzLWJlaW5nLXVuZmFpcmx5LWJsYW1lZC1pbi1taXNjb25kdWN0LXNjYW5kYWzSAWVodHRwczovL3d3dy5rdHZ1LmNvbS9uZXdzL2Zvcm1lci1vcGQtY2FwdGFpbi1zYXlzLWhlcy1iZWluZy11bmZhaXJseS1ibGFtZWQtaW4tbWlzY29uZHVjdC1zY2FuZGFsLmFtcA?oc=5&hl=en-US&gl=US&ceid=US:en,"{'href': 'https://www.ktvu.com', 'title': 'KTVU FOX 2 San Francisco'}"
MERCEDES PD,officer misconduct,Photos Show Hit-and-Run Behind Oakland Police Chief's Leave - The San Francisco Standard,Photos Show Hit-and-Run Behind Oakland Police Chief's Leave  The San Francisco Standard,"Mon, 23 Jan 2023 08:00:00 GMT",https://news.google.com/rss/articles/CBMiYmh0dHBzOi8vc2ZzdGFuZGFyZC5jb20vMjAyMy8wMS8yMy9waG90b3Mtc2hvdy1oaXQtYW5kLXJ1bi1iZWhpbmQtb2FrbGFuZC1wb2xpY2UtY2hpZWZzLXBhaWQtbGVhdmUv0gEA?oc=5&hl=en-US&gl=US&ceid=US:en,"{'href': 'https://sfstandard.com', 'title': 'The San Francisco Standard'}"
MERCEDES PD,officer misconduct,One Black man says Worcester cops have stopped him more than 70 times - GBH News,One Black man says Worcester cops have stopped him more than 70 times  GBH News,"Thu, 19 Jan 2023 08:00:00 GMT",https://news.google.com/rss/articles/CBMicGh0dHBzOi8vd3d3LndnYmgub3JnL25ld3MvbG9jYWwvMjAyMy0wMS0xOS9vbmUtYmxhY2stbWFuLXNheXMtd29yY2VzdGVyLWNvcHMtaGF2ZS1zdG9wcGVkLWhpbS1tb3JlLXRoYW4tNzAtdGltZXPSAQA?oc=5&hl=en-US&gl=US&ceid=US:en,"{'href': 'https://www.wgbh.org', 'title': 'GBH News'}"
MERCEDES PD,officer misconduct,"Police racially profiled black man driving Mercedes, ethics committee rules - Montreal Gazette","Police racially profiled black man driving Mercedes, ethics committee rules  Montreal Gazette","Mon, 23 Dec 2019 08:00:00 GMT",https://news.google.com/rss/articles/CBMidmh0dHBzOi8vbW9udHJlYWxnYXpldHRlLmNvbS9uZXdzL2xvY2FsLW5ld3MvcG9saWNlLXJhY2lhbGx5LXByb2ZpbGVkLWJsYWNrLW1hbi1kcml2aW5nLW1lcmNlZGVzLWV0aGljcy1jb21taXR0ZWUtcnVsZXPSAaQBaHR0cHM6Ly9tb250cmVhbGdhemV0dGUuY29tL25ld3MvbG9jYWwtbmV3cy9wb2xpY2UtcmFjaWFsbHktcHJvZmlsZWQtYmxhY2stbWFuLWRyaXZpbmctbWVyY2VkZXMtZXRoaWNzLWNvbW1pdHRlZS1ydWxlcy93Y20vOWQzNmI0OGItMjEwOC00ZDJlLWJkOWMtMDc1YzUzYWYxNTBmL2FtcC8?oc=5&hl=en-US&gl=US&ceid=US:en,"{'href': 'https://montrealgazette.com', 'title': 'Montreal Gazette'}"
